titulo,artista,edicion,genero,idioma,dificultad,coaches,archivo,edicion_codigo,map_name
World Eater,Ashnikko,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,3,3,worldeater_pc.ipk,2026,WorldEater
Airplanes,B.o.B Ft. Hayley Williams of Paramore,Just Dance 3,K-Pop,Coreano,1,1,airplanes_pc.ipk,3,Airplanes
Apache (Jump On It),The Sugarhill Gang,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,apache_pc.ipk,3,Apache
Baby Don't Stop Now,Anja,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,loveme_pc.ipk,3,LoveMe
Baby One More Time,Britney Spears,Just Dance 3,K-Pop,Coreano,1,4,babyonemorequat_pc.ipk,3,BabyOneMoreQUAT
Baby Zouk,Dr. Creole,Just Dance 3,Pop / Dance-Pop,Inglés,1,2,babyzouk_pc.ipk,3,BabyZouk
Barbra Streisand,Duck Sauce,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,barbrastreisand_pc.ipk,3,BarbraStreisand
Barbra Streisand,Duck Sauce,Just Dance 3,Pop / Dance-Pop,Inglés,4,1,kelloggs_pc.ipk,3,Kelloggs
Beat Match Until I'm Blue,Sweat Invaders,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,beatmatch_pc.ipk,3,BeatMatch
Boogie Wonderland,Groove Century,Just Dance 3,Disco / Funk,Inglés,1,4,boogiewonderquat_pc.ipk,3,BoogieWonderQUAT
Boom,Reggaeton Storm,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,boomdlc_pc.ipk,3,BoomDLC
Boomsday,Sweat Invaders,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,boomsday_pc.ipk,3,Boomsday
California Gurls,Katy Perry Ft. Snoop Dogg,Just Dance 3,Hip-Hop / Rap,Inglés,1,1,californiagurls_pc.ipk,3,CaliforniaGurls
Crazy Little Thing Called Love,Queen,Just Dance 3,Rock / Pop Rock,Inglés,1,2,crazylittle_pc.ipk,3,CrazyLittle
Dun N Dusted,Sweat Invaders,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,dunndusted_pc.ipk,3,DunNDusted
Dynamite,Taio Cruz,Just Dance 3,K-Pop,Coreano,1,4,dynamitequat_pc.ipk,3,DynamiteQUAT
E.T.,Katy Perry,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,et_pc.ipk,3,ET
Forget You,Cee Lo Green,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,forgetyou_pc.ipk,3,ForgetYou
Giddy On Up (Giddy On Out),Laura Bell Bundy,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,giddyonup_pc.ipk,3,GiddyOnUp
Gonna Make You Sweat (Everybody Dance Now),Sweat Invaders,Just Dance 3,Dance / Electrónica,Inglés,1,1,gonnamake_pc.ipk,3,GonnaMake
Hey Boy Hey Girl,The Chemical Brothers,Just Dance 3,Dance / Electrónica,Inglés,1,1,heyboy_pc.ipk,3,HeyBoy
Hungarian Dance No. 5,Brahms By Just Dance Classical Orchestra,Just Dance 3,Clásica / Instrumental,Inglés,1,2,hungariandance_pc.ipk,3,HungarianDance
I Don't Feel Like Dancin',Scissor Sisters,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,feellikedancing_pc.ipk,3,FeelLikeDancing
I Feel Love,Donna Summer,Just Dance 3,Disco / Funk,Inglés,1,1,ifeellove_pc.ipk,3,IFeelLove
I Was Made For Lovin' You,Kiss,Just Dance 3,Rock / Pop Rock,Inglés,2,1,iwasmadequatswt_pc.ipk,3,IWasMadeQUATSWT
I Was Made For Lovin' You,Kiss,Just Dance 3,Rock / Pop Rock,Inglés,1,4,iwasmadequat_pc.ipk,3,IWasMadeQUAT
I'm So Excited,Pointer Sisters,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,soexcited_pc.ipk,3,SoExcited
Jambo Mambo,Olé Orquesta,Just Dance 3,Pop / Dance-Pop,Inglés,2,2,jambomambo_pc.ipk,3,JamboMambo
Jump (For My Love),Girls Aloud,Just Dance 3,Pop / Dance-Pop,Inglés,1,2,jumpga_pc.ipk,3,JumpGA
Kurio Ko Uddah Le Jana,Bollywood Rainbow,Just Dance 3,Pop / Dance-Pop,Inglés,1,2,kurio_pc.ipk,3,Kurio
Land of 1000 Dances,Wilson Pickett,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,athousanddances_pc.ipk,3,AThousandDances
Let's Go To The Mall,Robin Sparkles,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,tothemall_pc.ipk,3,ToTheMall
Lollipop,MIKA,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,lollipop_pc.ipk,3,Lollipop
Mamasita,Latino Sunset,Just Dance 3,Pop / Dance-Pop,Inglés,2,2,mamasita_pc.ipk,3,Mamasita
Marcia Baila,Les Rita Mitsouko,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,marciabaila_pc.ipk,3,MarciaBaila
No Limit,2 Unlimited,Just Dance 3,Dance / Electrónica,Inglés,2,2,nolimit_pc.ipk,3,NoLimit
Only Girl (In The World),Rihanna,Just Dance 3,R&B / Soul,Inglés,1,1,onlygirl_pc.ipk,3,OnlyGirl
Party Rock Anthem,LMFAO Ft. Lauren Bennett and GoonRock,Just Dance 3,Dance / Electrónica,Inglés,2,1,partyrock_pc.ipk,3,PartyRock
Pata Pata,African Ladies,Just Dance 3,Pop / Dance-Pop,Inglés,1,2,patapata_pc.ipk,3,PataPata
Promiscuous,Nelly Furtado Ft. Timbaland,Just Dance 3,J-Pop,Japonés,1,2,promiscuous_pc.ipk,3,Promiscuous
Pump It,The Black Eyed Peas,Just Dance 3,Hip-Hop / Rap,Inglés,2,1,pumpit_pc.ipk,3,PumpIt
Satellite,Lena Meyer-Landrut,Just Dance 3,Rock / Pop Rock,Inglés,2,1,satellite_pc.ipk,3,Satellite
She's Got Me Dancing,Tommy Sparks,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,gotmedancing_pc.ipk,3,GotMeDancing
Somethin' Stupid,Robbie Williams and Nicole Kidman,Just Dance 3,Pop / Dance-Pop,Inglés,1,2,somethinstupid_pc.ipk,3,SomethinStupid
Soul Searchin,Groove Century,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,soulsearch_pc.ipk,3,SoulSearch
Spectronizer,Sentai Express,Just Dance 3,Pop / Dance-Pop,Inglés,1,4,spectronizerquat_pc.ipk,3,SpectronizerQUAT
Take On Me,a-ha,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,takeonme_pc.ipk,3,TakeOnMe
Teenage Dream,Katy Perry,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,teenagedream_pc.ipk,3,TeenageDream
The Master Blaster,Inspector Marceau,Just Dance 3,Pop / Dance-Pop,Instrumental,1,2,masterblaster_pc.ipk,3,MasterBlaster
Think,The London Orchestra & Cast,Just Dance 3,Clásica / Instrumental,Inglés,2,1,think_pc.ipk,3,Think
This Is Halloween,Danny Elfman,Just Dance 3,Pop / Dance-Pop,Inglés,1,4,halloweenquat_pc.ipk,3,HalloweenQUAT
Twist And Shake It,The Girly Team,Just Dance 3,Pop / Dance-Pop,Inglés,1,2,twistshakeit_pc.ipk,3,TwistShakeIt
Venus,Bananarama,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,venusb_pc.ipk,3,VenusB
Video Killed The Radio Star,The Buggles,Just Dance 3,Pop / Dance-Pop,Inglés,1,1,videokilled_pc.ipk,3,VideoKilled
What You Waiting For,Gwen Stefani,Just Dance 3,Pop / Dance-Pop,Inglés,2,1,whatyouwait_pc.ipk,3,WhatYouWait
Ain't No Other Man,The Girly Team,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,aintnootherman_pc.ipk,4,AintNoOtherMan
Aserejé (The Ketchup Song),Las Ketchup,Just Dance 4,Pop / Dance-Pop,Inglés,1,2,ketchupsong_pc.ipk,4,KetchupSong
Beauty And A Beat,Justin Bieber Ft. Nicki Minaj,Just Dance 4,Hip-Hop / Rap,Inglés,3,1,beautyandabeatdlc_pc.ipk,4,BeautyAndABeatDLC
Beware Of The Boys (Mundian To Bach Ke),Panjabi MC,Just Dance 4,Clásica / Instrumental,Inglés,2,4,bewareof_pc.ipk,4,BewareOf
Brand New Start,Anja,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,letmefeelya_pc.ipk,4,LetMeFeelYa
Call Me Maybe,Carly Rae Jepsen,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,callmemaybealt_pc.ipk,4,CallMeMaybeALT
Call Me Maybe,Carly Rae Jepsen,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,callmemaybe_pc.ipk,4,CallMeMaybe
Can't Take My Eyes Off You,Boys Town Gang,Just Dance 4,R&B / Soul,Inglés,3,1,canttakemyeyesalt_pc.ipk,4,CantTakeMyEyesALT
Can't Take My Eyes Off You,Boys Town Gang,Just Dance 4,R&B / Soul,Inglés,1,2,canttakemyeyes_pc.ipk,4,CantTakeMyEyes
Cercavo Amore,Emma,Just Dance 4,K-Pop,Coreano,2,1,amore_pc.ipk,4,Amore
Crazy Little Thing,Anja,Just Dance 4,Rock / Pop Rock,Inglés,2,1,sexylittlething_pc.ipk,4,SexyLittleThing
Crucified,Army Of Lovers,Just Dance 4,Pop / Dance-Pop,Inglés,2,4,crucifiedquat_pc.ipk,4,CrucifiedQUAT
Die Young,Ke$ha,Just Dance 4,Pop / Dance-Pop,Inglés,2,2,dieyoungdlc_pc.ipk,4,DieYoungDLC
Diggin' In The Dirt,Stefanie Heinzmann,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,diggin_pc.ipk,4,Diggin
Disturbia,Rihanna,Just Dance 4,R&B / Soul,Inglés,2,1,disturbia_pc.ipk,4,Disturbia
Domino,Jessie J,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,domino_pc.ipk,4,Domino
Everybody Needs Somebody To Love,Dancing Bros.,Just Dance 4,Pop / Dance-Pop,Inglés,2,2,everybodyneeds_pc.ipk,4,EverybodyNeeds
Funhouse,P!nk,Just Dance 4,Dance / Electrónica,Inglés,2,1,funhousedlc_pc.ipk,4,FunHouseDLC
Gangnam Style,PSY,Just Dance 4,K-Pop,Coreano,3,2,gangnamstyledlc_pc.ipk,4,GangnamStyleDLC
Gold Dust,DJ Fresh,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,golddust_pc.ipk,4,GoldDust
Good Feeling,Flo Rida,Just Dance 4,Hip-Hop / Rap,Inglés,4,1,goodfeelingalt_pc.ipk,4,GoodFeelingALT
Good Feeling,Flo Rida,Just Dance 4,Hip-Hop / Rap,Inglés,3,1,goodfeeling_pc.ipk,4,GoodFeeling
Good Girl,Carrie Underwood,Just Dance 4,Country / Folk,Inglés,1,1,goodgirl_pc.ipk,4,GoodGirl
Heavy Cross,Gossip,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,heavycross_pc.ipk,4,HeavyCross
Hit 'Em Up Style (Oops!),Blu Cantrell,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,hitemup_pc.ipk,4,HitEmUp
Hit The Lights,Selena Gomez and The Scene,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,hitthelights_pc.ipk,4,HitTheLights
Hot For Me,A.K.A,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,hotforme_pc.ipk,4,HotForMe
I Like It,The Blackout Allstars,Just Dance 4,Pop / Dance-Pop,Spanglish,2,2,ilikeitlike_pc.ipk,4,ILikeItLike
Istanbul,They Might Be Giants,Just Dance 4,Pop / Dance-Pop,Inglés,1,4,istanbulquat_pc.ipk,4,IstanbulQUAT
Jailhouse Rock,Elvis Presley,Just Dance 4,Dance / Electrónica,Inglés,2,1,jailhousealt_pc.ipk,4,JailHouseALT
Jailhouse Rock,Elvis Presley,Just Dance 4,Dance / Electrónica,Inglés,1,4,jailhouse_pc.ipk,4,JailHouse
Livin' La Vida Loca,Ricky Martin,Just Dance 4,Pop Latino / Urbano,Spanglish,1,1,livinlavidaloca_pc.ipk,4,LivinLaVidaLoca
Love You Like A Love Song,Selena Gomez and The Scene,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,loveyoulike_pc.ipk,4,LoveYouLike
Make The Party (Don't Stop),Bunny Beatz ft. Liquid,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,maketheparty_pc.ipk,4,MakeTheParty
Maneater,Nelly Furtado,Just Dance 4,J-Pop,Japonés,1,1,maneater_pc.ipk,4,Maneater
Mas Que Nada,Sergio Mendes Ft. Black Eyed Peas,Just Dance 4,Hip-Hop / Rap,Inglés,2,1,masquenada_pc.ipk,4,MasQueNada
Moves Like Jagger,Maroon 5 Ft. Christina Aguilera,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,moveslikedlc_pc.ipk,4,MovesLikeDLC
Mr. Saxobeat,Alexandra Stan,Just Dance 4,Dance / Electrónica,Portugués,1,1,mrsaxobeat_pc.ipk,4,MrSaxobeat
Never Gonna Give You Up,Rick Astley,Just Dance 4,K-Pop,Coreano,1,1,nevergonna_pc.ipk,4,NeverGonna
Oath,Cher Lloyd Ft. Becky G,Just Dance 4,Pop / Dance-Pop,Inglés,1,2,oath_pc.ipk,4,Oath
Oh No!,Marina and The Diamonds,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,ohno_pc.ipk,4,OhNo
On The Floor,Jennifer Lopez Ft. Pitbull,Just Dance 4,Dance / Electrónica,Spanglish,1,1,onthefloor_pc.ipk,4,OnTheFloor
Oops!... I Did It Again,Britney Spears,Just Dance 4,Pop / Dance-Pop,Inglés,2,4,ididitagainquat_pc.ipk,4,IDidItAgainQUAT
Part of Me,Katy Perry,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,partofmedlc_pc.ipk,4,PartOfMeDLC
Primadonna,Marina and The Diamonds,Just Dance 4,J-Pop,Japonés,1,1,primadonna_pc.ipk,4,PrimaDonna
Respect,Aretha Franklin,Just Dance 4,R&B / Soul,Inglés,1,1,respect_pc.ipk,4,Respect
Rock Lobster,The B-52's,Just Dance 4,Pop / Dance-Pop,Inglés,2,2,rocklobster_pc.ipk,4,RockLobster
Rock N' Roll (Will Take You To The Mountain),Skrillex,Just Dance 4,Dance / Electrónica,Inglés,3,1,rocknroll_pc.ipk,4,RockNRoll
Run The Show,Kat DeLuna Ft. Busta Rhymes,Just Dance 4,Hip-Hop / Rap,Inglés,4,1,runtheshowalt_pc.ipk,4,RunTheShowALT
Run The Show,Kat DeLuna Ft. Busta Rhymes,Just Dance 4,Hip-Hop / Rap,Inglés,2,2,runtheshow_pc.ipk,4,RunTheShow
So Glamorous,The Girly Team,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,glamorouscusto_pc.ipk,4,GlamorousCusto
So Good,B.o.B,Just Dance 4,Hip-Hop / Rap,Inglés,1,1,sogood_pc.ipk,4,SoGood
So What,P!nk,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,sowhat_pc.ipk,4,SoWhat
Some Catchin' Up To Do,Sammy,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,catchinup_pc.ipk,4,CatchinUp
Super Bass,Nicki Minaj,Just Dance 4,Hip-Hop / Rap,Inglés,2,1,superbass_pc.ipk,4,SuperBass
Superstition,Stevie Wonder,Just Dance 4,R&B / Soul,Inglés,1,1,superstition_pc.ipk,4,Superstition
The Final Countdown,Europe,Just Dance 4,Rock / Pop Rock,Inglés,1,2,thefinalcountdown_pc.ipk,4,TheFinalCountdown
The Lazy Song,Bruno Mars,Just Dance 4,Hip-Hop / Rap,Inglés,1,1,thelazysong_pc.ipk,4,TheLazySong
Time Warp,Halloween Thrills,Just Dance 4,Pop / Dance-Pop,Inglés,1,4,timewarpquat_pc.ipk,4,TimeWarpQUAT
Tribal Dance,2 Unlimited,Just Dance 4,Dance / Electrónica,Inglés,2,1,tribaldancealt_pc.ipk,4,TribalDanceALT
Tribal Dance,2 Unlimited,Just Dance 4,Dance / Electrónica,Inglés,3,2,tribaldance_pc.ipk,4,TribalDance
Umbrella,Rihanna Ft. JAY-Z,Just Dance 4,Hip-Hop / Rap,Inglés,1,1,umbrellaalt_pc.ipk,4,UmbrellaALT
Umbrella,Rihanna Ft. JAY-Z,Just Dance 4,Hip-Hop / Rap,Inglés,1,1,umbrella_pc.ipk,4,Umbrella
Want U Back,Cher Lloyd Ft. Astro,Just Dance 4,Pop / Dance-Pop,Inglés,1,1,wantuback_pc.ipk,4,WantUBack
We No Speak Americano,Hit The Electro Beat,Just Dance 4,Dance / Electrónica,Inglés,4,2,americanofan_pc.ipk,4,AmericanoFAN
We No Speak Americano,Hit The Electro Beat,Just Dance 4,Dance / Electrónica,Inglés,3,1,americano_pc.ipk,4,Americano
We R Who We R,Ke$ha,Just Dance 4,Pop / Dance-Pop,Inglés,2,1,werwhowerdlc_pc.ipk,4,WeRWhoWeRDLC
What Makes You Beautiful,One Direction,Just Dance 4,Pop / Dance-Pop,Inglés,4,1,makesyoubeautifulalt_pc.ipk,4,MakesYouBeautifulALT
What Makes You Beautiful,One Direction,Just Dance 4,Pop / Dance-Pop,Inglés,1,4,makesyoubeautiful_pc.ipk,4,MakesYouBeautiful
Wild Wild West,Will Smith,Just Dance 4,Pop / Dance-Pop,Inglés,4,1,wildwildwestalt_pc.ipk,4,WildWildWestALT
Wild Wild West,Will Smith,Just Dance 4,Pop / Dance-Pop,Inglés,1,4,wildwildwestquat_pc.ipk,4,WildWildWestQUAT
You Make Me Feel...,Cobra Starship Ft. Sabi,Just Dance 4,Rock / Pop Rock,Inglés,1,1,youmakemefeeldlc_pc.ipk,4,YouMakeMeFeelDLC
"You're The First, The Last, My Everything",Barry White,Just Dance 4,Disco / Funk,Inglés,1,4,yourethefirst_pc.ipk,4,YouReTheFirst
4 Walls,f(x),Just Dance China,K-Pop,Coreano,2,1,jdc4walls_pc.ipk,4514,JDC4Walls
Adoration to Happiness (快乐崇拜),Wilber Pan & Angela Chang,Just Dance China,C-Pop,Japonés,2,1,jdcadorationtohappiness_pc.ipk,4514,JDCAdorationToHappiness
Bailemen Swing (百乐门 Swing),The Shanghai Restoration Project feat. Zhang Le (上海复兴方案 feat. 张乐),Just Dance China,C-Pop,Chino,2,3,bailemenswing_pc.ipk,4514,BaiLeMenSwing
Bedtime Stories (床边故事),Jay Chou,Just Dance China,C-Pop,Chino,2,4,bedtimestorychn_pc.ipk,4514,BedtimeStoryCHN
Big Bowl Thick Noodle,Kris Wu,Just Dance China,C-Pop,Chino,1,1,bigbowlthicknoodlealt_pc.ipk,4514,BigBowlThickNoodleALT
Big Bowl Thick Noodle,Kris Wu,Just Dance China,C-Pop,Chino,1,1,bigbowlthicknoodle_pc.ipk,4514,BigBowlThickNoodle
Big Dreamer (大梦想家),TFBOYS,Just Dance China,C-Pop,Chino,1,1,bigdreamerchn_pc.ipk,4514,BigDreamerCHN
Chick Chick (小鸡小鸡),Wang Rong Rollin (王蓉),Just Dance China,C-Pop,Chino,2,1,jdcchickchick_pc.ipk,4514,JDCChickChick
Coolest Ethnic (最炫民族风),Phoenix Legend (凤凰传奇),Just Dance China,C-Pop,Chino,2,1,jdccoolestethnic_pc.ipk,4514,JDCCoolestEthnic
Dancing Diva (舞娘),Jolin Tsai,Just Dance China,C-Pop,Chino,2,1,dancingdivachn_pc.ipk,4514,DancingDivaCHN
Gee (哎呀),Girls Generation (少女时代),Just Dance China,K-Pop,Coreano,2,3,jdcgee_pc.ipk,4514,JDCGee
Gokuraku Joudo (极乐净土),GARNiDELiA,Just Dance China,J-Pop,Japonés,4,3,gokurakujodo_pc.ipk,4514,GokurakuJodo
Little Apple (小苹果),Chopstick Brothers,Just Dance China,C-Pop,Chino,2,2,littleapplechn_pc.ipk,4514,LittleAppleCHN
Play (我呸),Jolin Tsai,Just Dance China,C-Pop,Chino,2,1,jdcpeiplay_pc.ipk,4514,JDCPeiPlay
Real Love (爱有引力),Chris Lee,Just Dance China,C-Pop,Chino,1,1,jdcreallove_pc.ipk,4514,JDCRealLove
Us Under The Sunshine (阳光下的我们),Wanting Qu,Just Dance China,C-Pop,Chino,2,4,underthesunshinechn_pc.ipk,4514,UndertheSunshineCHN
A Pirate You Shall Be,Tom Zehnder,Just Dance Kids,Infantil,Inglés,2,1,kidspirateyoushallbe_pc.ipk,123,KIDSPirateYouShallBe
Accidentally in Love,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsaccidentallyinlove_pc.ipk,123,KIDSAccidentallyInLove
Alphabet Song,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsabc_pc.ipk,123,KIDSABC
Crocodile Rock,Nelly Furtado & Elton John,Just Dance Kids,Infantil,Inglés,1,1,kidscrocodile_pc.ipk,123,KIDSCrocodile
Day-O (The Banana Boat Song),The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsdayo_pc.ipk,123,KIDSDayO
Five Little Monkeys,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsfivelittlemonkeys_pc.ipk,123,KIDSFiveLittleMonkeys
Fraggle Rock Theme,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsfragglerock_pc.ipk,123,KIDSFraggleRock
Hickory Dickory Dock,Tom Zehnder,Just Dance Kids,Infantil,Inglés,1,1,kidshickorydickorydock_pc.ipk,123,KIDSHickoryDickoryDock
I Like to Move It,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,1,1,kidsiliketomoveit_pc.ipk,123,KIDSILikeToMoveIt
I've Been Working On The Railroad,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsworkingontherailroad_pc.ipk,123,KIDSWorkingOnTheRailroad
If You're Happy And You Know It,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsifyourehappy_pc.ipk,123,KIDSIfYoureHappy
Jingle Bells,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidsjinglebells_pc.ipk,123,KIDSJingleBells
Magic Carpet Ride,KSM,Just Dance Kids,Infantil,Inglés,1,1,kidsmagiccarpet_pc.ipk,123,KIDSMagicCarpet
Mary Had a Little Lamb,Tom Zehnder,Just Dance Kids,Infantil,Inglés,2,1,kidsmaryhadalittlelamb_pc.ipk,123,KIDSMaryHadALittleLamb
Problem (The Monster Remix),Gigi Abraham and Color Theory,Just Dance Kids,Infantil,Inglés,1,2,kidsproblem_pc.ipk,123,KIDSProblem
The Lion Sleeps Tonight (Wimoweh),The Just Dance Kids,Just Dance Kids,Infantil,Inglés,1,1,kidsthelionsleepstonight_pc.ipk,123,KIDSTheLionSleepsTonight
We Go Well Together,Goldheart,Just Dance Kids,Infantil,Inglés,2,1,kidswegowelltogether_pc.ipk,123,KIDSWeGoWellTogether
Wheels On The Bus,The Just Dance Kids,Just Dance Kids,Infantil,Inglés,2,1,kidswheelsonthebus_pc.ipk,123,KIDSWheelsOnTheBus
Joyful,Megumi Tatsumi (達見恵),Just Dance Wii 2 (Japón),J-Pop,Japonés,2,1,joyful_pc.ipk,3112,Joyful
We Can Fly,Happiness,Just Dance Wii 2 (Japón),J-Pop,Japonés,2,1,wecanfly_pc.ipk,3112,WeCanFly
Follow Me,E-Girls,Just Dance Wii U (Japón),J-Pop,Japonés,3,1,followme_pc.ipk,4118,FollowMe
Koi Suru Fortune Cookie (恋するフォーチュンクッキー),AKB48,Just Dance Wii U (Japón),J-Pop,Japonés,1,2,fortunecookie_pc.ipk,4118,FortuneCookie
Calling All the Monsters,Disney's A.N.T. Farm,Just Dance: Disney Party,Banda Sonora / Disney,Inglés,1,1,disneycallingall_pc.ipk,1928,DISNEYCallingAll
En Mi Mundo,Disney's Violetta,Just Dance: Disney Party 2,Banda Sonora / Disney,Español,1,1,disneyenmimundo_pc.ipk,1929,DISNEYEnMiMundo
Don't Stop 'Til You Get Enough,Michael Jackson,Michael Jackson: The Experience,R&B / Soul,Inglés,1,2,mjdontstop_pc.ipk,2009,MJDontStop
Earth Song,Michael Jackson,Michael Jackson: The Experience,R&B / Soul,Inglés,1,1,mjearthsong_pc.ipk,2009,MJEarthSong
